 LINE ID,naics2002,2002 NAICS US TITLE,isic,ISIC 3.1 TITLE,NOTES
37,111998,All Other Miscellaneous Crop Farming,0111,Growing of cereals and other crops n.e.c.,"natural rubber latex; field crops, n.e.c.; and combinations of grains, cereal crops, and other similar crops "
38,111998,All Other Miscellaneous Crop Farming,0112,"Growing of vegetables, horticultural specialties and nursery products","maple sugar and syrup production in the field, spice crop production"
39,111998,All Other Miscellaneous Crop Farming,0113,"Growing of fruit, nuts, beverage and spice crops","tea and mate; and combinations of crops of fruit, nut, beverage, and spice crops"
40,111998,All Other Miscellaneous Crop Farming,0130,Growing of crops combined with farming of animals (mixed farming),"combinations of crops, livestock, and animal specialties (primarily crops)"
41,111998,All Other Miscellaneous Crop Farming,0502,Aquaculture,algae and seaweed farming
42,111998,All Other Miscellaneous Crop Farming,1542,Manufacture of sugar,maple sugars and syrups produced in a separate central facility 
43,112111,Beef Cattle Ranching and Farming,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",cattle ranching and farming
44,112112,Cattle Feedlots,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",cattle feed lots
45,112120,Dairy Cattle and Milk Production,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",dairy cattle and milk production
46,112130,Dual-Purpose Cattle Ranching and Farming,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",null set for US - growing cattle for both milk and meat
47,112210,Hog and Pig Farming,0122,Other animal farming; production of animal products n.e.c.,hog and pig farming
48,112310,Chicken Egg Production,0122,Other animal farming; production of animal products n.e.c.,chicken eggs
49,112320,Broilers and Other Meat Type Chicken Production,0122,Other animal farming; production of animal products n.e.c.,meat type chickens
50,112330,Turkey Production,0122,Other animal farming; production of animal products n.e.c.,turkeys
51,112340,Poultry Hatcheries,0122,Other animal farming; production of animal products n.e.c.,poultry hatcheries
52,112390,Other Poultry Production,0122,Other animal farming; production of animal products n.e.c.,"ducks, geese, quail, pheasant, emu, ostriches"
54,112410,Sheep Farming,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",sheep
55,112420,Goat Farming,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",goats
56,112511,Finfish Farming and Fish Hatcheries,0502,Aquaculture,finfish farming and hatcheries
57,112512,Shellfish Farming,0502,Aquaculture,shellfish farming including production of cultured pearls
58,112519,Other Animal Aquaculture,0122,Other animal farming; production of animal products n.e.c.,alligator and frog production
59,112519,Other Animal Aquaculture,0502,Aquaculture,"turtle and other animal aquaculture, n.e.c.."
60,112910,Apiculture,0122,Other animal farming; production of animal products n.e.c.,beekeeping
61,112920,Horse and Other Equine Production,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","horses, asses, mules, hinnies"
62,112930,Fur-Bearing Animal and Rabbit Production,0122,Other animal farming; production of animal products n.e.c.,"rabbits, other animals raised for fur"
63,112990,All Other Animal Production,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","other general livestock farms including combinations of animals, such as horses, asses, mules, cattle, sheep and goats"
64,112990,All Other Animal Production,0122,Other animal farming; production of animal products n.e.c.,"other animal farms including cats, crickets and other insects, dogs, pet birds, snakes, worms, and combinations of swine, poultry and domestic animals"
65,112990,All Other Animal Production,0130,Growing of crops combined with farming of animals (mixed farming),"combinations of crops, livestock, and animal specialties (primarily livestock)"
66,113110,Timber Tract Operations,0200,"Forestry, logging and related service activities",operating timber tracts
67,113210,Forest Nurseries and Gathering of Forest Products,0112,"Growing of vegetables, horticultural specialties and nursery products",gathering mushrooms and truffles in the wild
69,113210,Forest Nurseries and Gathering of Forest Products,0200,"Forestry, logging and related service activities","gathering forest products in the wild (except mushrooms, truffles), growing seedlings for reforestation and similar"
70,113310,Logging,0200,"Forestry, logging and related service activities","logging including Christmas trees, fuel wood, and hewn timbers"
71,113310,Logging,2010,Sawmilling and planing of wood,"production of wood chips in the forest, portable chipper mills"
72,114111,Finfish Fishing,0501,Fishing,finfish
73,114112,Shellfish Fishing,0501,Fishing,shellfish
75,114119,Other Marine Fishing,0501,Fishing,"seaweed gathering, sponge gathering, and catching turtles and frogs in the wild"
76,114210,Hunting and Trapping,0150,"Hunting, trapping and game propagation including related service activities",hunting and trapping activities
77,115111,Cotton Ginning,0140,"Agricultural and animal husbandry service activities, except veterinary activities",cotton ginning
78,115112,"Soil Preparation, Planting, and Cultivating",0140,"Agricultural and animal husbandry service activities, except veterinary activities",preparation of fields
79,115113,"Crop Harvesting, Primarily by Machine",0140,"Agricultural and animal husbandry service activities, except veterinary activities",harvesting
80,115114,Post Harvest Crop Activities (except Cotton Ginning),0140,"Agricultural and animal husbandry service activities, except veterinary activities",post harvest preparation of crops for primary market
81,115115,Farm Labor Contractors and Crew Leaders,0140,"Agricultural and animal husbandry service activities, except veterinary activities",farm labor contractors and crew leaders
82,115116,Farm Management Services,0140,"Agricultural and animal husbandry service activities, except veterinary activities",farm management services - running a farm on a contract or fee basis
83,115210,Support Activities for Animal Production,0140,"Agricultural and animal husbandry service activities, except veterinary activities","agricultural services for animals, e.g., husbandry, boarding (except pets), registration, spraying, wool grading"
83.1,115210,Support Activities for Animal Production,2892,Treatment and coating of metals; general mechanical engineering on a fee or contract basis,farriers
83.2,115210,Support Activities for Animal Production,8520,Veterinary activities,vaccinating livestock (except by veterinarians)
84,115310,Support Activities for Forestry,0200,"Forestry, logging and related service activities","forest firefighting, estimating timber, timber evaluation, forestry inventories, log hauling in the forest"
85,211111,Crude Petroleum and Natural Gas Extraction,1010,Mining and agglomeration of hard coal,liquefying and extracting coal 
86,211111,Crude Petroleum and Natural Gas Extraction,1110,Extraction of crude petroleum and natural gas,extraction of crude petroleum and natural gas
87,211112,Natural Gas Liquid Extraction,1110,Extraction of crude petroleum and natural gas,extraction of natural gas liquids
88,212111,Bituminous Coal and Lignite Surface Mining,1010,Mining and agglomeration of hard coal,bituminous coal surface mining (including separate locations beneficiating bituminous coal whether from surface or underground mines)
89,212111,Bituminous Coal and Lignite Surface Mining,1020,Mining and agglomeration of lignite,lignite surface mining (including separate locations beneficiating lignite whether from surface or underground mines)
90,212112,Bituminous Coal Underground Mining,1010,Mining and agglomeration of hard coal,bituminous coal underground mining
91,212113,Anthracite Mining,1010,Mining and agglomeration of hard coal,anthracite mining (including separate locations beneficiating anthracite coal)
92,212210,Iron Ore Mining,1310,Mining of iron ores,iron ore mining and/or beneficiating
93,212221,Gold Ore Mining,1320,"Mining of non-ferrous metal ores, except uranium and thorium ores",gold mining and/or beneficiating
94,212222,Silver Ore Mining,1320,"Mining of non-ferrous metal ores, except uranium and thorium ores",silver ore mining and/or beneficiating
95,212231,Lead Ore and Zinc Ore Mining,1320,"Mining of non-ferrous metal ores, except uranium and thorium ores",lead and zinc ore mining and/or beneficiating
96,212234,Copper Ore and Nickel Ore Mining,1320,"Mining of non-ferrous metal ores, except uranium and thorium ores",copper and nickel ore mining and/or beneficiating
97,212291,Uranium-Radium-Vanadium Ore Mining,1200,Mining of uranium and thorium ores,uranium mining and/or beneficiating
98,212291,Uranium-Radium-Vanadium Ore Mining,1320,"Mining of non-ferrous metal ores, except uranium and thorium ores",vanadium and radium mining and/or beneficiating
99,212299,All Other Metal Ore Mining,1200,Mining of uranium and thorium ores,thorium mining and/or beneficiating
100,212299,All Other Metal Ore Mining,1320,"Mining of non-ferrous metal ores, except uranium and thorium ores","bauxite, cobalt, magnesium, manganese, tungsten, mercury, monazite, molybdenum, rare earths, and other metal ore mining (except gold, silver, lead, zinc, copper, nickel, and vanadium)"
101,212311,Dimension Stone Mining and Quarrying,1410,"Quarrying of stone, sand and clay","mining or quarrying or building or monument stone (e.g., marble, granite, sandstone, limestone), mining or quarrying slate"
103,212311,Dimension Stone Mining and Quarrying,1429,Other mining and quarrying n.e.c.,dimension mica schist
104,212312,Crushed and Broken Limestone Mining and Quarrying,1410,"Quarrying of stone, sand and clay","crushed and broken limestone, dolomite, and chalk"
105,212312,Crushed and Broken Limestone Mining and Quarrying,1421,Mining of chemical and fertilizer minerals,quarrying or mining marl
106,212313,Crushed and Broken Granite Mining and Quarrying,1410,"Quarrying of stone, sand and clay",crushed or broken granite
109,212319,Other Crushed and Broken Stone Mining and Quarrying,1410,"Quarrying of stone, sand and clay","crushed or broken marble, slate, or stone (except bituminous limestone, bituminous sandstone, and mica schist)"
110,212319,Other Crushed and Broken Stone Mining and Quarrying,1429,Other mining and quarrying n.e.c.,"crushed or broken mica schist, bituminous limestone, and bituminous sandstone"
111,212321,Construction Sand and Gravel Mining,1410,"Quarrying of stone, sand and clay",quarrying sand or gravel for construction
112,212322,Industrial Sand Mining,1410,"Quarrying of stone, sand and clay",mining or quarrying industrial sand
113,212324,Kaolin and Ball Clay Mining,1410,"Quarrying of stone, sand and clay",mining or kaolin and ball clay (including separate establishments beneficiating kaolin or ball clay)
114,212325,Clay and Ceramic and Refractory Minerals Mining,1410,"Quarrying of stone, sand and clay",mining of ceramic and refractory clays including bentonite (including separate establishments beneficiating these clays)
115,212325,Clay and Ceramic and Refractory Minerals Mining,1429,Other mining and quarrying n.e.c.,"ceramic and refractory minerals except clays and bentonite (for example fullers earth, feldspar, and magnesite)"
116,212391,"Potash, Soda, and Borate Mineral Mining",1421,Mining of chemical and fertilizer minerals,"quarrying or mining of potash, soda, and borite minerals"
117,212392,Phosphate Rock Mining,1421,Mining of chemical and fertilizer minerals,quarrying or mining of phosphate rock
118,212393,Other Chemical and Fertilizer Mineral Mining,1421,Mining of chemical and fertilizer minerals,"quarrying or mining other chemical or fertilizer minerals, such as lithium, arsenic, barium, barite, pyrites, pigments, and fluorspar"
119,212393,Other Chemical and Fertilizer Mineral Mining,1422,Extraction of salt,salt extraction or evaporation of brine to obtain salt
120,212399,All Other Nonmetallic Mineral Mining,1030,Extraction and agglomeration of peat,"peat mining, digging or beneficiating in combination with mining"
121,212399,All Other Nonmetallic Mineral Mining,1410,"Quarrying of stone, sand and clay","gypsum, alabaster, pulpstone, millstone, and grindstone mining, other crushed stone including anhydrite, pulpstone, millstone, and grindstone"
123,212399,All Other Nonmetallic Mineral Mining,1429,Other mining and quarrying n.e.c.,"quarrying or mining abrasives, bitumins, natural asphalt, gem stones, mica, graphite, and other nonmetallic minerals, n.e.c."
124,213111,Drilling Oil and Gas Wells,1120,Service activities incidental to oil and gas extraction excluding surveying,drilling oil and gas wells
125,213112,Support Activities for Oil and Gas Operations,1120,Service activities incidental to oil and gas extraction excluding surveying,"derrick construction, repair and dismantling services, cleaning wells, and other services incidental to oil and gas extraction performed on a contract or fee basis"
126,213112,Support Activities for Oil and Gas Operations,7421,Architectural and engineering activities and related technical consultancy,oil and gas exploration on a contract or fee basis (except geophysical)
127,213113,Support Activities for Coal Mining,1010,Mining and agglomeration of hard coal,anthracite coal recovery from culm banks and other contract or fee services to coal mining
128,213113,Support Activities for Coal Mining,4510,Site preparation,test drilling for coal mining on a contract or fee basis
129,213113,Support Activities for Coal Mining,7421,Architectural and engineering activities and related technical consultancy,coal exploration (except geophysical) on a contract or fee basis
130,213114,Support Activities for Metal Mining,4510,Site preparation,"overburden removal for ferrous metal  mining, or overburden removal for nonferrous metal mining, mining of clays and kaolin,  performed on a contract or fee basis, test drilling for metal mining on a contract or fee basis"
133,213114,Support Activities for Metal Mining,7421,Architectural and engineering activities and related technical consultancy,metals exploration (except geophysical) on a contract or fee basis
134,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,4510,Site preparation,"overburden removal for mining ornamental and building stone, limestone, gypsum, and chalk, slate, sand and gravel pits, mining of clays and kaolin, mining of chemical and fertilizer minerals, mining of salt, other mining, n.e.c., performed on a contract or fee basis, test drilling for nonmetallic minerals (except fuels) mining on a contract or fee basis"
143,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,7421,Architectural and engineering activities and related technical consultancy,other nonmetallic mineral exploration (except geophysical) on a contract or fee basis
144,221111,Hydroelectric Power Generation,4010,"Production, transmission and distribution of electricity",hydroelectric power generation
145,221112,Fossil Fuel Electric Power Generation,4010,"Production, transmission and distribution of electricity",fossil fuel electric power generation
146,221113,Nuclear Electric Power Generation,4010,"Production, transmission and distribution of electricity",nuclear power generation
147,221119,Other Electric Power Generation,4010,"Production, transmission and distribution of electricity",other electric power generation
148,221121,Electric Bulk Power Transmission and Control,4010,"Production, transmission and distribution of electricity",transmission of electric power
149,221122,Electric Power Distribution,4010,"Production, transmission and distribution of electricity","distribution services for electric power, electric power brokers and agents arranging the sale of electric power through distribution systems owned by others"
150,221210,Natural Gas Distribution,4020,Manufacture of gas; distribution of gaseous fuels through mains,"modification of gas that is part of distribution, manufacture of gas by utilities, distribution of natural gas, brokers and agents selling natural gas via distribution systems owned by others"
152,221310,Water Supply and Irrigation Systems,0140,"Agricultural and animal husbandry service activities, except veterinary activities",agricultural irrigation systems
153,221310,Water Supply and Irrigation Systems,4100,"Collection, purification and distribution of water","operation of water treatment plants, distribution networks, and supply of water"
155,221320,Sewage Treatment Facilities,9000,"Sewage and refuse disposal, sanitation and similar activities","sewage collection, treatment, and disposal through sewer systems"
156,221330,Steam and Air-Conditioning Supply,4030,Steam and hot water supply,"providing steam, heated air, or cooled air"
159,236115,New Single-Family Housing (except Operative Builders),4520,Building of complete constructions or parts thereof; civil engineering,"new construction of single-family housing, (except speculative or operative builders). Includes single-family design-build firms and single-family construction management firms acting as general contractors."
160,236116,New Multifamily Housing Construction (except Operative Builders),4520,Building of complete constructions or parts thereof; civil engineering,"new construction of multifamily housing, (except speculative or operative builders). Includes multifamily design-build firms and multifamily construction management firms acting as general contractors."
157,236117,New Housing Operative Builders,4520,Building of complete constructions or parts thereof; civil engineering,"residential operative builders subcontracting all construction work to other units, new construction of single-family or multifamily housing on own account (speculative or operative builders) using own employees"
162,236118,Residential Remodelers,4520,Building of complete constructions or parts thereof; civil engineering,"additions, alterations, reconstruction, maintenance and repair work of existing houses and other residential buildings"
163,236118,Residential Remodelers,4530,Building installation,general technical repair and maintenance of residential building installations -- handyman services residential
158,236200,Nonresidential Building Construction,4520,Building of complete constructions or parts thereof; civil engineering,"nonresidential operative builders subcontracting all construction work to other units, nonresidential operative builders performing construction work with their own employees"
164,236210,Industrial Building Construction,4520,Building of complete constructions or parts thereof; civil engineering,"new construction or additions, alterations, maintenance, and repairs of existing industrial buildings, such as plants, factories, mills. Does not include warehouses., industrial oven construction"
166,236220,Commercial and Institutional Building Construction,4520,Building of complete constructions or parts thereof; civil engineering,"construction or maintenance and repairs of commercial or institutional buildings, such as stores, schools, hospitals, office buildings, industrial warehouses, bus shelters, stadiums, arenas, and other structures for sporting or recreational facilities"
167,236220,Commercial and Institutional Building Construction,4530,Building installation,general technical repair and maintenance of commercial and institutional building installations
168,237110,Water and Sewer Line and Related Structures Construction,4520,Building of complete constructions or parts thereof; civil engineering,"construction of water and sewer distribution lines, mains, pipes, and connections, including related structures, such as tanks, pumping stations and treatment plants.  Special trade contractors primarily engaged in these activities are included., water well drilling (except water intake wells in oil and gas fields)"
170,237120,Oil and Gas Pipeline and Related Structures Construction,4520,Building of complete constructions or parts thereof; civil engineering,"oil and gas pipeline construction (long distance and distribution systems) and related structures, such as refineries, storage tanks, and petrochemical plants. Includes specialty trade contractors primarily engaged in these activities."
171,237130,Power and Communication Line and Related Structures Construction,4520,Building of complete constructions or parts thereof; civil engineering,"construction of power and communications lines, towers and related structures, such as power plants (except hydroelectric), underground cable construction companies, and specialty trade contractors primarily engaged in these civil engineering activities"
172,237210,Land Subdivision ,7010,Real estate activities with own or leased property,establishments subdividing and developing building lots for sale 
173,237310,"Highway, Street, and Bridge Construction",4520,Building of complete constructions or parts thereof; civil engineering,"construction of bridges and elevated highways. Includes new work, reconstruction, rehabilitation, and repairs. Includes specialty trade contractors engaged in activities primarily related to bridge and elevated motorway construction., construction of roads, streets, and highways; airport runways; concrete and asphalt work; painting lines on highways, streets, and parking lots; traffic sign, guardrail and similar installation on highways, streets, and bridges"
175,237310,"Highway, Street, and Bridge Construction",4530,Building installation,traffic signaling and lighting installation contractors (if they are specialized in this activity only)
176,237990,Other Heavy and Civil Engineering Construction,4510,Site preparation,"microtunneling (horizontal drilling to install cables, conduit, drains, and similar), drainage projects (such as urban storm water runoff control systems), soil stabilization using anchored earth procedures"
177,237990,Other Heavy and Civil Engineering Construction,4520,Building of complete constructions or parts thereof; civil engineering,"construction of tunnels, subways, hydroelectric generating facilities, and ski lifts.  Includes specialty trade contractors primarily engaged in these activities., railroad construction, athletic field construction, golf course construction, playground construction, outdoor tennis court construction, and similar, construction of channels, dams, and docks; marine construction; dredging; riprap installation; seawall construction; other marine or underwater construction activities, such as marine pile driving"
180,238000,Specialty Trade Contractors,28-36,Manufacturing Industries 28 - 36,installation of machinery and other manufactured goods in buildings considered manufacturing in ISIC and NACE but not considered manufacturing in NAICS
181,238110,Poured Concrete Foundation and Structure Contractors,4520,Building of complete constructions or parts thereof; civil engineering,"concrete work (except paving); concrete pouring and finishing; concrete pumping; footing and foundation concrete contractors; concrete chimneys; mud jacking contractors, shotcrete contractors"
182,238120,Structural Steel and Precast Concrete Contractors,4520,Building of complete constructions or parts thereof; civil engineering,"concrete product installation (including precast panel, slab, or form); erecting and assembling structural steel parts and assembling and installing other steel construction products; rebar installation contractors"
183,238130,Framing Contractors,4520,Building of complete constructions or parts thereof; civil engineering,"roof truss installation, wood foundation and structure contractors (framing contractors)"
185,238140,Masonry Contractors,4520,Building of complete constructions or parts thereof; civil engineering,"block, brick, and concrete block laying; building foundation (brick, block, stone) contractors; brick chimneys and fireplaces; marble slate, granite and other stone setting; masonry repair, such as pointing and caulking"
186,238140,Masonry Contractors,4540,Building completion,"stucco contractors, glass block installation"
188,238150,Glass and Glazing Contractors,4540,Building completion,glass and mirror installation
189,238160,Roofing Contractors,4520,Building of complete constructions or parts thereof; civil engineering,"installation roofing materials on flat or sloped roofs. Includes asphaltic or fiberglass shingles, shakes, corrugated roof panels, membranes, hot asphalt and other roofing systems including roof painting."
190,238170,Siding Contractors,4520,Building of complete constructions or parts thereof; civil engineering,"installation of gutters, downspouts, fascia, soffit, and flashing, installation of wood, metal, vinyl, and other siding materials"
192,238190,"Other Foundation, Structure, and Building Exterior Contractors",4520,Building of complete constructions or parts thereof; civil engineering,"erecting and dismantling forms for poured concrete, metal curtain wall installation, on-site welding"
193,238190,"Other Foundation, Structure, and Building Exterior Contractors",4530,Building installation,"awning installation, ornamental metal work, such as railings (functional items), shutter installation"
194,238190,"Other Foundation, Structure, and Building Exterior Contractors",4540,Building completion,ornamental metal work installation and decorative steel and wrought iron work installation
195,238210,Electrical Contractors,4530,Building installation,"electrical wiring and low voltage wiring, such as telecommunications, cable TV, home automation, audio system computer network and similar, airport runway lighting; highway, street, bridge lighting and electrical signals; traffic signal installation"
198,238220,"Plumbing, Heating, and Air-Conditioning Contractors",2914,"Manufacture of ovens, furnaces and furnace burners","industrial furnace installation, repair and maintenance of furnaces and other heating equipment"
199,238220,"Plumbing, Heating, and Air-Conditioning Contractors",4520,Building of complete constructions or parts thereof; civil engineering,"installation of cooling towers and other industrial or commercial cooling equipment, chimney liner installation"
197,238220,"Plumbing, Heating, and Air-Conditioning Contractors",4530,Building installation,"industrial boiler repair and installation, electrical heating systems contractors, household boiler repair and installation, plumbing contractors, HVAC contractors; fire sprinkler system and lawn sprinkler system installation; heating and cooling duct installation"
203,238220,"Plumbing, Heating, and Air-Conditioning Contractors",7493,Building-cleaning and industrial-cleaning activities,"boiler chipping, cleaning, and scaling "
204,238290,Other Building Equipment Contractors,2915,Manufacture of lifting and handling equipment,installation of materials handling equipment in buildings
205,238290,Other Building Equipment Contractors,3313,Manufacture of industrial process control equipment,assembly and installation of machinery in production lines
206,238290,Other Building Equipment Contractors,3694,Manufacture of games and toys,bowling alley and equipment installation
207,238290,Other Building Equipment Contractors,4530,Building installation,"installation of elevators and escalators, lightning protection equipment, household antennas including residential satellite dishes, and building equipment such as conveyors, gasoline station equipment (pumps, lifts), central vacuum cleaning systems, etc., boiler and pipe insulation, duct insulation, service station pumps, installation and repair"
210,238290,Other Building Equipment Contractors,4540,Building completion,"overhead door (commercial and industrial type) installation, automated door installation, revolving door installation"
211,238310,Drywall and Insulation Contractors,4530,Building installation,"soundproofing and building insulation contractors (wall cavity, attic, for example)"
212,238310,Drywall and Insulation Contractors,4540,Building completion,"drywall installation and finishing contractors, plastering contractors including fresco contractors, lathing contractors, drop ceiling installation on metal structures, installation of acoustic tiles and panels"
215,238320,Painting and Wall Covering Contractors,4540,Building completion,"wallpaper hanging and removal, interior and exterior painting; bridge painting, and painting of other civil engineering structures"
217,238330,Flooring Contractors,4540,Building completion,"laying of carpeting, linoleum, and hardwood (includes refinishing and resurfacing). Selling and installation by a building materials dealer is retail, sale and installation by a construction contractor is construction."
218,238340,Tile and Terrazzo Contractors,4540,Building completion,"interior installation of tile, stone, marble, granite, slate, mosaic, and terrazzo floor and wall covering"
219,238350,Finish Carpentry Contractors,3511,Building and repairing of ships,ship joinery 
220,238350,Finish Carpentry Contractors,4540,Building completion,"door and window frame construction; prefabricated door and window installation, paneling installation, prefabricated cabinet installation, garage door installation, millwork installation;  on site fabrication of cabinets, includes skylight installation "
221,238390,Other Building Finishing Contractors,3610,Manufacture of furniture,"modular furniture attachment and installation, partition installation, laboratory equipment furniture installation"
222,238390,Other Building Finishing Contractors,4530,Building installation,waterproofing and damp proofing contractors 
223,238390,Other Building Finishing Contractors,4540,Building completion,"window shade and blind installation, countertop and cabinet, metal (except residential), installation; moveable or demountable partition installation, modular office furniture installation contractors, bathtub refinishing, installation of custom sheet metal work or fabrication on site"
227,238910,Site Preparation Contractors,4510,Site preparation,"core drilling and test boring for construction, demolition of buildings and other structures, excavation and grading, earth moving, trenching (except underwater), blasting, dewatering contractors [assume this is draining building sites and agricultural and forestry land], and land clearing, core drilling and test boring for construction"
228,238910,Site Preparation Contractors,4520,Building of complete constructions or parts thereof; civil engineering,"pile driving, building foundation; foundation digging and drilling, septic tank and cess pool installation"
230,238910,Site Preparation Contractors,4550,Renting of construction or demolition equipment with operator,"construction equipment rental with operator, (except cranes)"
231,238990,All Other Specialty Trade Contractors,4520,Building of complete constructions or parts thereof; civil engineering,"interlocking block walkways, driveways, patios, etc., steeplejack work; lifting work (lifting work is contracted for rather than an hourly rate for the crane operator); house moving contractors"
234,238990,All Other Specialty Trade Contractors,4530,Building installation,"fence installation, sign erection, billboard erection, flag pole installation"
235,238990,All Other Specialty Trade Contractors,4540,Building completion,sandblasting building exteriors; private outdoor swimming pool construction 
236,238990,All Other Specialty Trade Contractors,4550,Renting of construction or demolition equipment with operator,"crane rental, with operator "
237,311111,Dog and Cat Food Manufacturing,1533,Manufacture of prepared animal feeds,dog and cat food manufacturing
238,311119,Other Animal Food Manufacturing,1531,Manufacture of grain mill products,custom grinding grain
239,311119,Other Animal Food Manufacturing,1533,Manufacture of prepared animal feeds,"farm animal feeds, pet (except dog and cat) food and specialty foods, such as worm food and fish food"
241,311211,Flour Milling,1513,Processing and preserving of fruit and vegetables,potato flour
242,311211,Flour Milling,1531,Manufacture of grain mill products,"manufacturing grain flour (except rice) and/or milling flower and producing mixes or dough, fruit and vegetable flour"
243,311212,Rice Milling,1531,Manufacture of grain mill products,"rice milling, rice flour"
244,311213,Malt Manufacturing,1553,Manufacture of malt liquors and malt,malt manufacturing 
245,311221,Wet Corn Milling,1532,Manufacture of starches and starch products,"crude vegetable oils produced by wet milling, refined vegetable oils made in wet milling plants, margarine, shortening, and similar edible oils made in wet milling plants, wet corn milling and starches and starch products"
249,311222,Soybean Processing,1514,Manufacture of vegetable and animal oils and fats,"soybean oils, crude or refined in crushing mills,soy based margarine, shortening, and similar edible oils made in crushing mills"
